0x00A7 section
0x00B1 plusminus
0x00B6 paragraph
0x00D7 multiply
0x00F7 divide
0x02C7 caron
0x02D9 dotaccent
0x0300 gravecomb
0x0301 acutecomb
0x2020 dagger
0x2021 daggerdbl
0x2025 twodotenleader
0x2026 ellipsis
0x2030 perthousand
0x2126 Omega
0x2135 aleph
0x2190 arrowleft
0x2191 arrowup
0x2192 arrowright
0x2193 arrowdown
0x2194 arrowboth
0x2195 arrowupdn
0x21D0 arrowdblleft
0x21D2 arrowdblright
0x21D4 arrowdblboth
0x2200 universal
0x2202 partialdiff
0x2203 existential
0x2205 emptyset
0x2206 Delta
0x2207 gradient
0x2208 element
0x2209 notelement
0x220B suchthat
0x220F product
0x2211 summation
0x221A radical
0x221D proportional
0x221E infinity
0x221F orthogonal
0x2220 angle
0x2227 logicaland
0x2228 logicalor
0x2229 intersection
0x222A union
0x222B integral
0x2234 therefore
0x2245 congruent
0x2248 approxequal
0x2260 notequal
0x2261 equivalence
0x2264 lessequal
0x2265 greaterequal
0x2282 propersubset
0x2283 propersuperset
0x2284 notsubset
0x2286 reflexsubset
0x2287 reflexsuperset
0x2295 circleplus
0x2297 circlemultiply
0x22A5 perpendicular
0x2329 angleleft
0x232A angleright
0x25A0 filledbox
0x25A1 H22073
0x25AA H18543
0x25AB H18551
0x25B2 triagup
0x25BC triagdn
0x25CA lozenge
0x25CB circle
0x25CF H18533
0x25E6 openbullet
0x2640 female
0x2642 male
0x2660 spade
0x2663 club
0x2665 heart
0x2666 diamond
0x266A musicalnote
0x266B musicalnotedbl
0x1F110 u1F110
0x1F111 u1F111
0x1F112 u1F112
0x1F113 u1F113
0x1F114 u1F114
0x1F115 u1F115
0x1F116 u1F116
0x1F117 u1F117
0x1F118 u1F118
0x1F119 u1F119
0x1F11A u1F11A
0x1F11B u1F11B
0x1F11C u1F11C
0x1F11D u1F11D
0x1F11E u1F11E
0x1F11F u1F11F
0x1F120 u1F120
0x1F121 u1F121
0x1F122 u1F122
0x1F123 u1F123
0x1F124 u1F124
0x1F125 u1F125
0x1F126 u1F126
0x1F127 u1F127
0x1F128 u1F128
0x1F129 u1F129
0x1F12A u1F12A
0x1F12B u1F12B
0x1F12C u1F12C
0x1F12D u1F12D
0x1F12E u1F12E
0x1F12F u1F12F
0x1F130 u1F130
0x1F131 u1F131
0x1F132 u1F132
0x1F133 u1F133
0x1F134 u1F134
0x1F135 u1F135
0x1F136 u1F136
0x1F137 u1F137
0x1F138 u1F138
0x1F139 u1F139
0x1F13A u1F13A
0x1F13B u1F13B
0x1F13C u1F13C
0x1F13D u1F13D
0x1F13E u1F13E
0x1F13F u1F13F
0x1F140 u1F140
0x1F141 u1F141
0x1F142 u1F142
0x1F143 u1F143
0x1F144 u1F144
0x1F145 u1F145
0x1F146 u1F146
0x1F147 u1F147
0x1F148 u1F148
0x1F149 u1F149
0x1F14A u1F14A
0x1F14B u1F14B
0x1F14C u1F14C
0x1F14D u1F14D
0x1F14E u1F14E
0x1F14F u1F14F
0x1F150 u1F150
0x1F151 u1F151
0x1F152 u1F152
0x1F153 u1F153
0x1F154 u1F154
0x1F155 u1F155
0x1F156 u1F156
0x1F157 u1F157
0x1F158 u1F158
0x1F159 u1F159
0x1F15A u1F15A
0x1F15B u1F15B
0x1F15C u1F15C
0x1F15D u1F15D
0x1F15E u1F15E
0x1F15F u1F15F
0x1F160 u1F160
0x1F161 u1F161
0x1F162 u1F162
0x1F163 u1F163
0x1F164 u1F164
0x1F165 u1F165
0x1F166 u1F166
0x1F167 u1F167
0x1F168 u1F168
0x1F169 u1F169
0x1F170 u1F170
0x1F171 u1F171
0x1F172 u1F172
0x1F173 u1F173
0x1F174 u1F174
0x1F175 u1F175
0x1F176 u1F176
0x1F177 u1F177
0x1F178 u1F178
0x1F179 u1F179
0x1F17A u1F17A
0x1F17B u1F17B
0x1F17C u1F17C
0x1F17D u1F17D
0x1F17E u1F17E
0x1F17F u1F17F
0x1F180 u1F180
0x1F181 u1F181
0x1F182 u1F182
0x1F183 u1F183
0x1F184 u1F184
0x1F185 u1F185
0x1F186 u1F186
0x1F187 u1F187
0x1F188 u1F188
0x1F189 u1F189
0x1F18A u1F18A
0x1F18B u1F18B
0x1F18C u1F18C
0x1F18D u1F18D
0x1F18E u1F18E
0x1F18F u1F18F
0x1F191 u1F191
0x1F192 u1F192
0x1F193 u1F193
0x1F194 u1F194
0x1F195 u1F195
0x1F196 u1F196
0x1F197 u1F197
0x1F198 u1F198
0x1F199 u1F199
0x1F19A u1F19A
